"","Monthly_Date","Store","Dept","Monthly_Sales","Region"
"1",2010-02-01,"1","1",131963.08,2
"2",2010-02-01,"1","2",187509.77,3
"3",2010-02-01,"1","3",47286.6,4
"4",2010-02-01,"1","4",146792.36,1
"5",2010-02-01,"1","5",112420.35,2
"6",2010-02-01,"1","6",26188.85,2
"7",2010-02-01,"1","7",76603.81,1
"8",2010-02-01,"1","8",151499.64,1
"9",2010-02-01,"1","9",64549.85,3
"10",2010-02-01,"1","10",119772.36,3
"11",2010-02-01,"1","11",81986.75,4
"12",2010-02-01,"1","12",35284.96,2
"13",2010-02-01,"1","13",153770.69,4
"14",2010-02-01,"1","14",71205.55,2
"15",2010-02-01,"1","16",48828,4
"16",2010-02-01,"1","17",50780.09,4
"17",2010-02-01,"1","18",41904.74,1
"18",2010-02-01,"1","19",6815.33,1
"19",2010-02-01,"1","20",17459.63,1
"20",2010-02-01,"1","21",35185.55,3
"21",2010-02-01,"1","22",50017.87,3
"22",2010-02-01,"1","23",86139.12,1
"23",2010-02-01,"1","24",29320.66,3
"24",2010-02-01,"1","25",45368.17,4
"25",2010-02-01,"1","26",40876.78,1
"26",2010-02-01,"1","27",8793.75,4
"27",2010-02-01,"1","28",4091.81,3
"28",2010-02-01,"1","29",27660.76,2
"29",2010-02-01,"1","30",20168.98,1
"30",2010-02-01,"1","31",12002.63,2
"31",2010-02-01,"1","32",54998.45,3
"32",2010-02-01,"1","33",29499.32,4
"33",2010-02-01,"1","34",52215.16,4
"34",2010-02-01,"1","35",9395.9,1
"35",2010-02-01,"1","36",1653,4
"36",2010-02-01,"1","37",12567.14,2
"37",2010-02-01,"1","38",401128.88,4
"38",2010-02-01,"1","40",260506.7,1
"39",2010-02-01,"1","41",4028.51,1
"40",2010-02-01,"1","42",31114.77,4
"41",2010-02-01,"1","44",17404.29,1
"42",2010-02-01,"1","45",140.26,3
"43",2010-02-01,"1","46",80178.93,3
"44",2010-02-01,"1","47",-793,3
"45",2010-02-01,"1","48",1772,1
"46",2010-02-01,"1","49",60621.81,3
"47",2010-02-01,"1","51",86.31,4
"48",2010-02-01,"1","52",11880.29,1
"49",2010-02-01,"1","54",1647,3
"50",2010-02-01,"1","55",74254.75,4
"51",2010-02-01,"1","56",11261.7,1
"52",2010-02-01,"1","58",19651.97,2
"53",2010-02-01,"1","59",5513.85,1
"54",2010-02-01,"1","60",4400,4
"55",2010-02-01,"1","67",48345.44,3
"56",2010-02-01,"1","71",17474.64,3
"57",2010-02-01,"1","72",306103.96,1
"58",2010-02-01,"1","74",51357.99,2
"59",2010-02-01,"1","79",150262.1,1
"60",2010-02-01,"1","80",64007.93,3
"61",2010-02-01,"1","81",117745.7,3
